mode,min_samples,convention,seed,swing_ari,swing_instability,swing_n,ari_vs_truth,n_eval,noise,clusters
title_artist,10,singletons,1009,0.9946489549134743,0.00535104508652573,2911,0.3437824412368999,438,0.5596015115080728,16
title_artist,10,exclude,1010,0.9210960062896731,0.07890399371032686,1079,0.7350435279345765,163,0.6262452765372725,19
title_artist,10,single_cluster,1010,0.8029605238384281,0.1970394761615719,2911,0.0533608034019844,437,0.6262452765372725,19
title_artist,10,singletons,1010,0.7299658580604614,0.27003414193953856,2911,0.3779563649178915,437,0.6262452765372725,19
title_artist,10,exclude,1011,0.9182619735029337,0.0817380264970663,1088,0.736086055787558,162,0.6241841291652354,20
title_artist,10,single_cluster,1011,0.8147667961824011,0.1852332038175989,2911,0.05188488960404248,438,0.6241841291652354,20
title_artist,10,singletons,1011,0.7309338271783371,0.2690661728216629,2911,0.37704853342885536,438,0.6241841291652354,20
title_artist,10,exclude,1012,1.0,0.0,1278,0.5981854724402186,187,0.5592579869460667,16
title_artist,10,single_cluster,1012,0.9946466813084854,0.005353318691514564,2911,0.06864339443414127,437,0.5592579869460667,16
title_artist,10,singletons,1012,0.9981842629261334,0.001815737073866619,2911,0.3517416295177577,437,0.5592579869460667,16
title_artist,10,exclude,1013,1.0,0.0,1273,0.5975680248399131,188,0.5602885606320852,16
title_artist,10,single_cluster,1013,0.98931672967562,0.01068327032437999,2911,0.06877012964805616,438,0.5602885606320852,16
title_artist,10,singletons,1013,0.9964349716716047,0.0035650283283953366,2911,0.3515771759210559,438,0.5602885606320852,16
title_artist,10,exclude,1014,0.9217568365659398,0.07824316343406024,1087,0.7356882071810092,164,0.623497080041223,20
title_artist,10,single_cluster,1014,0.8090168219433085,0.19098317805669152,2911,0.052792205730703534,438,0.623497080041223,20
title_artist,10,singletons,1014,0.7306942575166313,0.2693057424833687,2911,0.3771041675350861,438,0.623497080041223,20
title_artist,10,exclude,1015,0.9185232397310051,0.08147676026899486,1081,0.7367417502381994,163,0.6276193747852972,20
title_artist,10,single_cluster,1015,0.8107843826601805,0.1892156173398195,2911,0.0524094144196143,437,0.6276193747852972,20
title_artist,10,singletons,1015,0.7236351722409754,0.2763648277590246,2911,0.3782985718952359,437,0.6276193747852972,20
title_artist,10,exclude,1016,0.9202494582673382,0.07975054173266183,1080,0.7341535566545033,161,0.627275850223291,20
title_artist,10,single_cluster,1016,0.8089142293538104,0.1910857706461896,2911,0.050449230873218974,435,0.627275850223291,20
title_artist,10,singletons,1016,0.7284281960085106,0.2715718039914894,2911,0.3731886782021282,435,0.627275850223291,20
title_artist,10,exclude,1017,0.9201858029340813,0.07981419706591875,1083,0.7350435279345765,163,0.6255582274132601,20
title_artist,10,single_cluster,1017,0.809900532202074,0.19009946779792597,2911,0.05231214509487346,438,0.6255582274132601,20
title_artist,10,singletons,1017,0.7301796816027207,0.26982031839727927,2911,0.3771509551294273,438,0.6255582274132601,20
title_artist,10,exclude,1018,0.9212443825217103,0.07875561747828974,1085,0.732766479233194,161,0.6252147028512539,20
title_artist,10,single_cluster,1018,0.8118645326732983,0.18813546732670172,2911,0.04909063230008812,438,0.6252147028512539,20
title_artist,10,singletons,1018,0.7297394147181956,0.2702605852818044,2911,0.3683627514122555,438,0.6252147028512539,20
title_artist,10,exclude,1019,0.9206223132699799,0.0793776867300201,1083,0.7341155068904052,162,0.6255582274132601,20
title_artist,10,single_cluster,1019,0.8090031471995361,0.19099685280046386,2911,0.05188627663099197,436,0.6255582274132601,20
title_artist,10,singletons,1019,0.7285484120956666,0.27145158790433344,2911,0.3791508340806526,436,0.6255582274132601,20
title_artist,15,exclude,1000,0.9996308390948073,0.0003691609051926781,1130,0.6197446302832131,171,0.6090690484369632,15
title_artist,15,single_cluster,1000,0.9871561036247123,0.012843896375287711,2911,0.04765495099819694,436,0.6090690484369632,15
title_artist,15,singletons,1000,0.9947882366812737,0.0052117633187263035,2911,0.32270185393777545,436,0.6090690484369632,15
title_artist,15,exclude,1001,1.0,0.0,1131,0.635028465862113,169,0.6035726554448643,16
title_artist,15,single_cluster,1001,0.9735159044569229,0.02648409554307707,2911,0.04866256481289794,435,0.6035726554448643,16
title_artist,15,singletons,1001,0.9829961590442738,0.017003840955726157,2911,0.3273902923678784,435,0.6035726554448643,16
